"","Lon","Lat","X","Nimi","Type","Õppekeel","Aadress","x","y","ads_oid"
"1",24.7815538849255,59.4374270541941,5,"Kadrioru Lasteaed","lasteaed","vene","L. Koidula tn 20a, Kesklinna linnaosa",544349,6589102,"ME02187103"
"2",24.7397135520792,59.4462864332646,7,"Kalamaja Lasteaed","lasteaed","eesti","Vana-Kalamaja tn 28a, Põhja-Tallinna linnaosa",541964,6590062,"ME00641884"
"3",24.713802566925,59.4404868052169,10,"Kolde Lasteaed","lasteaed","eesti","Timuti tn 24, Põhja-Tallinna linnaosa",540501,6589400,"ME01811153"
"4",24.6790407805571,59.457062009241,11,"Kopli Lasteaed","lasteaed","eesti","Kopli tn 104, Põhja-Tallinna linnaosa",538510,6591226,"ME00641831"
"5",24.6885688258833,59.4477396713486,16,"Lasteaed Kajakas","lasteaed","vene","Madala tn 13, Põhja-Tallinna linnaosa",539061,6590193,"ME01989568"
"6",24.7357637363806,59.4478705095979,17,"Lasteaed Kelluke","lasteaed","eesti/ vene","Uus-Kalamaja tn 6, Põhja-Tallinna linnaosa",541738,6590236,"ME00641875"
"7",24.6777883789472,59.4543754677281,18,"Lasteaed Maasikas","lasteaed","vene","Vasara tn 18, Põhja-Tallinna linnaosa",538442,6590926,"ME01990544"
"8",24.6902958872592,59.4529460769148,19,"Lasteaed Mesipuu","lasteaed","vene","Kangru tn 5, Põhja-Tallinna linnaosa",539153,6590774,"ME00641870"
"9",24.6963388273624,59.4518550281339,20,"Lasteaed Naeratus","lasteaed","vene","Niidi põik 4, Põhja-Tallinna linnaosa",539497,6590656,"ME01964523"
"10",24.7102635268213,59.4347249177791,21,"Lasteaed Ojake","lasteaed","eesti/ vene","Ädala tn 3, Põhja-Tallinna linnaosa",540307,6588756,"ME01989652"
"11",24.7015798192345,59.4417822969491,22,"Lasteaed Päikene","lasteaed","eesti","Sõle tn 39, Põhja-Tallinna linnaosa",539806,6589537,"ME01964521"
"12",24.6924360454826,59.4428450564072,23,"Lasteaed Pääsupesa","lasteaed","eesti","Puhangu tn 57, Põhja-Tallinna linnaosa",539286,6589650,"ME00641874"
"13",24.7089530644011,59.4446063864185,24,"Lasteaed Rukkirääk","lasteaed","eesti","Rukki tn 17, Põhja-Tallinna linnaosa",540221,6589856,"ME00641861"
"14",24.7411994535942,59.422965337587,25,"Lastesõim Planeedi Mudila","lasteaed","eesti","Planeedi tn 16, Kesklinna linnaosa",542077,6587465,"ME00654534"
"15",24.6946434288158,59.4525821121178,26,"Lastesõim Päkapikk","lasteaed","eesti","Sõle tn 76a, Põhja-Tallinna linnaosa",539400,6590736,"ME00641872"
"16",24.8472886485149,59.4906572455926,28,"Merivälja Lasteaed","lasteaed","eesti","Haaviku tee 10, Pirita linnaosa",548004,6595077,"ME00627693"
"17",24.7338101254422,59.4291468824724,30,"Muumipere Lastesõim","lasteaed","eesti","Endla tn 17, Kesklinna linnaosa",541650,6588149,"EE00633588"
"18",24.6885924651915,59.4454145875768,33,"Pelguranna Lasteaed","lasteaed","eesti","Pelguranna tn 49, Põhja-Tallinna linnaosa",539065,6589934,"ME00650575"
"19",24.8454066190291,59.4581642547979,34,"Pirita Kose Lasteaed","lasteaed","eesti","Kose tee 58/1, Pirita linnaosa",547943,6591456,"ME01689993"
"20",24.8408722659393,59.4716764945829,35,"Pirita Lasteaed","lasteaed","eesti","E. Bornhöhe tee 10, Pirita linnaosa",547667,6592958,"ME01990581"
"21",24.7367494760633,59.4281879006992,38,"Rõõmutarekese Lasteaed","lasteaed","eesti","Toom-Kuninga tn 13a, Kesklinna linnaosa",541818,6588044,"ME00653583"
"22",24.6960109379146,59.446147591123,39,"Sitsi Lasteaed","lasteaed","vene","Vihuri tn 3, Põhja-Tallinna linnaosa",539485,6590020,"ME01656082"
"23",24.7095154039303,59.4428259678717,40,"Taime Lasteaed","lasteaed","eesti/ vene","Taime tn 27, Põhja-Tallinna linnaosa",540255,6589658,"ME00641864"
"24",24.7759128491638,59.4373616685468,42,"Tallinna 22. Lasteaed","lasteaed","eesti","J. Vilmsi tn 9, Kesklinna linnaosa",544029,6589091,"EE03204257"
"25",24.6988406263623,59.4000727686612,45,"Tallinna Allika Lasteaed","lasteaed","vene","J. Sütiste tee 7, Mustamäe linnaosa",539699,6584889,"ME00645434"
