route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
tallinna-lin_bus_1A,"1A","Viru keskus - Viimsi keskus",,3,,,
tallinna-lin_bus_2,"2","Mõigu - Reisisadam (A-terminal)",,3,,,
tallinna-lin_bus_3,"3","Veerenni - Randla",,3,,,
tallinna-lin_bus_4,"4","Väike-Õismäe - Tiskre",,3,,,
tallinna-lin_bus_5,"5","Männiku - Metsakooli tee",,3,,,
tallinna-lin_bus_6,"6","Merivälja Pansion - Metsakooli tee",,3,,,
tallinna-lin_bus_7,"7","Seli - Sõjamäe",,3,,,
tallinna-lin_bus_8,"8","Viru keskus - Äigrumäe",,3,,,
tallinna-lin_bus_9,"9","Kadaka - Kivisilla",,3,,,
tallinna-lin_bus_10,"10","Väike-Õismäe - Vana-Pääsküla",,3,,,
tallinna-lin_bus_11,"11","Kadaka - Kivisilla",,3,,,
tallinna-lin_bus_12,"12","Väike-Õismäe - Priisle",,3,,,
tallinna-lin_bus_13,"13","Väike-Õismäe - Seli",,3,,,
tallinna-lin_bus_14,"14","Viru keskus - Vana-Pääsküla",,3,,,
tallinna-lin_bus_15,"15","Viru keskus - Sõjamäe",,3,,,
tallinna-lin_bus_16,"16","Väike-Õismäe - Tallinn-Väike",,3,,,
tallinna-lin_bus_17,"17","J.Sütiste tee - Bussijaam",,3,,,
tallinna-lin_bus_17A,"17A","J.Sütiste tee - Juhkentali",,3,,,
tallinna-lin_bus_18,"18","Viru keskus - Laagri",,3,,,
tallinna-lin_bus_19,"19","Viru keskus - P.Pinna",,3,,,
tallinna-lin_bus_20,"20","Reisisadam (D-terminal) - Pääsküla jaam",,3,,,
tallinna-lin_bus_20A,"20A","Laagri alevik - Kivisilla",,3,,,
tallinna-lin_bus_21,"21","Balti jaam - Landi",,3,,,
tallinna-lin_bus_21A,"21A","Väike-Õismäe - Kakumäe",,3,,,
tallinna-lin_bus_21B,"21B","Balti jaam - Kakumäe",,3,,,
tallinna-lin_bus_22,"22","Väike-Õismäe - Estonia",,3,,,
tallinna-lin_bus_23,"23","Kadaka - Bussijaam",,3,,,
tallinna-lin_bus_24,"24","Mustamäe - Estonia",,3,,,
tallinna-lin_bus_24A,"24A","Kadaka - Estonia",,3,,,
tallinna-lin_bus_25,"25","Keskuse - Laagri alevik",,3,,,
tallinna-lin_bus_26,"26","Väike-Õismäe - Paljassaare",,3,,,
tallinna-lin_bus_26A,"26A","Väike-Õismäe - Paljassaare põik",,3,,,
tallinna-lin_bus_27,"27","Harkujärve - Laagri alevik",,3,,,
tallinna-lin_bus_28,"28","Veerenni - Väike-Õismäe",,3,,,
tallinna-lin_bus_29,"29","Viru keskus - Iru hooldekodu - Priisle",,3,,,
tallinna-lin_bus_30,"30","Seli - Iru - Kärmu",,3,,,
tallinna-lin_bus_31,"31","Priisle - Estonia",,3,,,
tallinna-lin_bus_32,"32","Männiku - Kopli",,3,,,
tallinna-lin_bus_33,"33","Männiku - Kopli",,3,,,
tallinna-lin_bus_34A,"34A","Viru keskus - Muuga aedlinn",,3,,,
tallinna-lin_bus_35,"35","Viru keskus - Seli",,3,,,
tallinna-lin_bus_36,"36","Väike-Õismäe - Viru",,3,,,
tallinna-lin_bus_37,"37","Keskuse - Zoo",,3,,,
tallinna-lin_bus_38,"38","Viru keskus - Muuga",,3,,,
tallinna-lin_bus_39,"39","Veerenni - Liikuri",,3,,,
tallinna-lin_bus_40,"40","Viru keskus - Pelguranna",,3,,,
tallinna-lin_bus_41,"41","Balti jaam - Landi",,3,,,
tallinna-lin_bus_41B,"41B","Balti jaam - Kakumäe",,3,,,
tallinna-lin_bus_42,"42","Väike-Õismäe - Kaubamaja",,3,,,
tallinna-lin_bus_43,"43","Väike-Õismäe - Balti jaam",,3,,,
tallinna-lin_bus_44,"44","Viru keskus - P.Pinna",,3,,,
tallinna-lin_bus_45,"45","Väike-Õismäe - Ülemiste",,3,,,
tallinna-lin_bus_46,"46","Väike-Õismäe - Kivisilla",,3,,,
tallinna-lin_bus_47,"47","Väike-Õismäe - Bussijaam",,3,,,
tallinna-lin_bus_48,"48","Viru keskus - Pelguranna",,3,,,
tallinna-lin_bus_49,"49","Viimsi keskus -  Lennujaam",,3,,,
tallinna-lin_bus_50,"50","Seli - Pae",,3,,,
tallinna-lin_bus_51,"51","Viru keskus - Priisle",,3,,,
tallinna-lin_bus_53,"53","Priisle - Estonia",,3,,,
tallinna-lin_bus_54,"54","Kurina - Estonia",,3,,,
tallinna-lin_bus_55,"55","P.Pinna - Kivisilla",,3,,,
tallinna-lin_bus_56,"56","Seli - Estonia",,3,,,
tallinna-lin_bus_57,"57","Raudalu - Kalev",,3,,,
tallinna-lin_bus_58,"58","Priisle - Pae",,3,,,
tallinna-lin_bus_59,"59","Balti jaam - Pikakari",,3,,,
tallinna-lin_bus_60,"60","Priisle - Maneezi",,3,,,
tallinna-lin_bus_61,"61","Astangu - Järve haigla",,3,,,
tallinna-lin_bus_63,"63","Priisle - Maneezi",,3,,,
tallinna-lin_bus_65,"65","Lasnamäe - Lennujaam",,3,,,
tallinna-lin_bus_67,"67","Seli - Estonia",,3,,,
tallinna-lin_bus_68,"68","Priisle - Estonia",,3,,,
tallinna-lin_bus_72,"72","Keskuse - Kopli",,3,,,
tallinna-lin_bus_73,"73","Veerenni - Tööstuse",,3,,,
harju_regionalbus_Anija1,"Anija 1","Kehra - Anija - Soodla - Lilli - Kehra",,3,,,
harju_regionalbus_Anija2,"Anija 2","Laidemaa - Lükati - Alavere - Vetla - Voose - Alavere",,3,,,
harju_regionalbus_Anija3,"Anija 3","Alavere - Pikva - Lehtmetsa - Kehra - Alavere",,3,,,
harju_regionalbus_Anija4,"Anija 4","Alavere - Lükati - Alavere",,3,,,
harju_regionalbus_Anija5,"Anija 5","Alavere - Kehra",,3,,,
harju_regionalbus_Anija6,"Anija 6","Härmakosu - Pillapalu - Kehra",,3,,,
harju_regionalbus_H1,"H1","Tutermaa - Kumna - Vääna-Sõrve-Suurupi-Tabasalu-Harkujärve",,3,,,
harju_regionalbus_H10,"H10","Harkujärve - Tabasalu - Liikva - Vääna - Harku - Tabasalu",,3,,,
harju_regionalbus_H2,"H2","Naage - Adra - Vääna - Vääna-Jõesuu - Suurupi - Muraste",,3,,,
harju_regionalbus_H3,"H3","Keila-Joa - Mäe - Vääna -Kiia- Harku - Harkuj. - Tabasalu",,3,,,
harju_regionalbus_H3A,"H3A","Tabasalu - Harku - Harkujärve",,3,,,
harju_regionalbus_H4,"H4","Vääna - V-Jõesuu - Tabasalu - Harku - Suurupi - Keila-Joa",,3,,,
harju_regionalbus_H6,"H6","Vääna - Humala - Tutermaa - Kumna - Keila",,3,,,
harju_regionalbus_H7,"H7","Harkujärve - Tabasalu - Suurupi - Vääna - Vääna-Jõesuu",,3,,,
harju_regionalbus_H8,"H8","Keila - Kumna - Vääna",,3,,,
harju_regionalbus_H9,"H9","Vääna-Jõesuu - Suurupi- Tabasalu- Harkuj - Sõrve-Suurupi",,3,,,
harju_regionalbus_J1,"J1","Tallinn - Laagna - Rebala - Jõelähtme - Ihasalu -  Neeme",,3,,,
harju_regionalbus_J10,"J10","Manniva - Jõelähtme - Neeme tee - Jõelähtme - Rebala - Kostivere",,3,,,
harju_regionalbus_J11,"J11","Loo - Kostivere - Rebala - Jõelähtme - Jägala - Kostivere - Jägala - Jõelähtme - Kostivere",,3,,,
harju_regionalbus_J12,"J12","Kostivere - Jõelähtme - Kuusalu kool - Kaberneeme - Neeme - Jõelähtme - Kostivere",,3,,,
harju_regionalbus_J13,"J13","Loo - Kostivere - Rebala-Jõelähtme-Jägala-Raasiku-Kostivere",,3,,,
harju_regionalbus_J14,"J14","Neeme tee - Jõelähtme - Loo - Lagedi kool - Loo",,3,,,
harju_regionalbus_J15,"J15","Pirita jõgi - Saviranna - Ülgase - Liivamäe küla - Loo",,3,,,
harju_regionalbus_J2,"J2","Jõelähtme - Kaberneeme - Kullamäe",,3,,,
harju_regionalbus_J3,"J3","Kallavere - Iru - Loo",,3,,,
harju_regionalbus_J4,"J4","Neeme tee - Kaberneeme - Kuusalu kool - Jägala - Haljava - Kostivere",,3,,,
