,schoolTestScores.school.or.criterion,schoolTestScores.school.year,schoolTestScores.N,schoolTestScores.exam,schoolTestScores.Mean,schoolTestScores.Median
1,Ehte Humanitaargümnaasium,2013/14,36,Eesti keel teise keelena riigieksam,70.6,72
2,Ehte Humanitaargümnaasium,2013/14,26,Kitsa matemaatika riigieksam,27.8,22
3,Ehte Humanitaargümnaasium,2013/14,10,Laia matemaatika riigieksam,72.1,73
4,Gustav Adolfi Gümnaasium,2013/14,125,Eesti keele riigieksam,78.7,79
5,Gustav Adolfi Gümnaasium,2013/14,34,Kitsa matemaatika riigieksam,51.9,52
6,Gustav Adolfi Gümnaasium,2013/14,91,Laia matemaatika riigieksam,73.2,78
7,Haabersti Vene Gümnaasium,2013/14,29,Eesti keel teise keelena riigieksam,76.8,82
8,Haabersti Vene Gümnaasium,2013/14,16,Kitsa matemaatika riigieksam,24.9,22
9,Haabersti Vene Gümnaasium,2013/14,13,Laia matemaatika riigieksam,45.2,46
10,Jakob Westholmi Gümnaasium,2013/14,61,Eesti keele riigieksam,69.7,69
11,Jakob Westholmi Gümnaasium,2013/14,35,Kitsa matemaatika riigieksam,45.6,40
12,Jakob Westholmi Gümnaasium,2013/14,26,Laia matemaatika riigieksam,71,72
13,Kadrioru Saksa Gümnaasium,2013/14,70,Eesti keele riigieksam,64.5,66
14,Kadrioru Saksa Gümnaasium,2013/14,28,Kitsa matemaatika riigieksam,28.3,26
15,Kadrioru Saksa Gümnaasium,2013/14,41,Laia matemaatika riigieksam,47.9,49
16,Lasnamäe Gümnaasium,2013/14,55,Eesti keel teise keelena riigieksam,75.4,79
17,Lasnamäe Gümnaasium,2013/14,43,Kitsa matemaatika riigieksam,28.5,23
18,Lasnamäe Gümnaasium,2013/14,12,Laia matemaatika riigieksam,66.9,74
19,Lasnamäe Vene Gümnaasium,2013/14,34,Eesti keel teise keelena riigieksam,73.1,80
20,Lasnamäe Vene Gümnaasium,2013/14,26,Kitsa matemaatika riigieksam,21.6,18
21,Lasnamäe Vene Gümnaasium,2013/14,9,Laia matemaatika riigieksam,36,30
22,Pelgulinna Gümnaasium,2013/14,49,Eesti keele riigieksam,56.3,55
23,Pelgulinna Gümnaasium,2013/14,20,Kitsa matemaatika riigieksam,15.6,16
24,Pelgulinna Gümnaasium,2013/14,29,Laia matemaatika riigieksam,28.4,26
25,Pirita Majandusgümnaasium,2013/14,40,Eesti keele riigieksam,52.5,50
26,Pirita Majandusgümnaasium,2013/14,19,Kitsa matemaatika riigieksam,33.5,32
27,Pirita Majandusgümnaasium,2013/14,21,Laia matemaatika riigieksam,49.6,50
28,Tallinna 21. Kool,2013/14,96,Eesti keele riigieksam,73.8,76
29,Tallinna 21. Kool,2013/14,26,Kitsa matemaatika riigieksam,41.8,40
30,Tallinna 21. Kool,2013/14,70,Laia matemaatika riigieksam,59.9,60
31,Tallinna 32. Keskkool,2013/14,110,Eesti keele riigieksam,62.7,65
32,Tallinna 32. Keskkool,2013/14,53,Kitsa matemaatika riigieksam,25.5,23
33,Tallinna 32. Keskkool,2013/14,57,Laia matemaatika riigieksam,35.5,31
34,Tallinna 53. Keskkool,2013/14,42,Eesti keel teise keelena riigieksam,64.8,69
35,Tallinna 53. Keskkool,2013/14,27,Kitsa matemaatika riigieksam,40,39
36,Tallinna 53. Keskkool,2013/14,16,Laia matemaatika riigieksam,75.8,82
37,Tallinna Arte Gümnaasium,2013/14,61,Eesti keele riigieksam,65.3,68
38,Tallinna Arte Gümnaasium,2013/14,26,Kitsa matemaatika riigieksam,21.7,20
39,Tallinna Arte Gümnaasium,2013/14,35,Laia matemaatika riigieksam,41,40
40,Tallinna Humanitaargümnaasium,2013/14,37,Eesti keel teise keelena riigieksam,85.3,91
41,Tallinna Humanitaargümnaasium,2013/14,11,Kitsa matemaatika riigieksam,41,37
42,Tallinna Humanitaargümnaasium,2013/14,30,Laia matemaatika riigieksam,53.9,54
43,Tallinna Juudi Kool,2013/14,12,Eesti keel teise keelena riigieksam,68,65
44,Tallinna Juudi Kool,2013/14,6,Kitsa matemaatika riigieksam,33.5,36
45,Tallinna Juudi Kool,2013/14,6,Laia matemaatika riigieksam,56.7,56
46,Tallinna Järveotsa Gümnaasium,2013/14,29,Eesti keele riigieksam,66.9,67
47,Tallinna Järveotsa Gümnaasium,2013/14,7,Kitsa matemaatika riigieksam,19.3,22
48,Tallinna Järveotsa Gümnaasium,2013/14,22,Laia matemaatika riigieksam,39.9,38
49,Tallinna Kesklinna Vene Gümnaasium,2013/14,26,Eesti keel teise keelena riigieksam,67.9,68
50,Tallinna Kesklinna Vene Gümnaasium,2013/14,20,Kitsa matemaatika riigieksam,30.1,27
