school,year,test takers,exam,mean score,median score
Ehte Humanitaarg<fc>mnaasium,2013/14,36,Eesti keel teise keelena riigieksam,70.6,72
Ehte Humanitaarg<fc>mnaasium,2013/14,26,Kitsa matemaatika riigieksam,27.8,22
Ehte Humanitaarg<fc>mnaasium,2013/14,10,Laia matemaatika riigieksam,72.1,73
Gustav Adolfi G<fc>mnaasium,2013/14,125,Eesti keele riigieksam,78.7,79
Gustav Adolfi G<fc>mnaasium,2013/14,34,Kitsa matemaatika riigieksam,51.9,52
Gustav Adolfi G<fc>mnaasium,2013/14,91,Laia matemaatika riigieksam,73.2,78
Haabersti Vene G<fc>mnaasium,2013/14,29,Eesti keel teise keelena riigieksam,76.8,82
Haabersti Vene G<fc>mnaasium,2013/14,16,Kitsa matemaatika riigieksam,24.9,22
Haabersti Vene G<fc>mnaasium,2013/14,13,Laia matemaatika riigieksam,45.2,46
Jakob Westholmi G<fc>mnaasium,2013/14,61,Eesti keele riigieksam,69.7,69
Jakob Westholmi G<fc>mnaasium,2013/14,35,Kitsa matemaatika riigieksam,45.6,40
Jakob Westholmi G<fc>mnaasium,2013/14,26,Laia matemaatika riigieksam,71,72
Kadrioru Saksa G<fc>mnaasium,2013/14,70,Eesti keele riigieksam,64.5,66
Kadrioru Saksa G<fc>mnaasium,2013/14,28,Kitsa matemaatika riigieksam,28.3,26
Kadrioru Saksa G<fc>mnaasium,2013/14,41,Laia matemaatika riigieksam,47.9,49
Lasnam<e4>e G<fc>mnaasium,2013/14,55,Eesti keel teise keelena riigieksam,75.4,79
Lasnam<e4>e G<fc>mnaasium,2013/14,43,Kitsa matemaatika riigieksam,28.5,23
Lasnam<e4>e G<fc>mnaasium,2013/14,12,Laia matemaatika riigieksam,66.9,74
Lasnam<e4>e Vene G<fc>mnaasium,2013/14,34,Eesti keel teise keelena riigieksam,73.1,80
Lasnam<e4>e Vene G<fc>mnaasium,2013/14,26,Kitsa matemaatika riigieksam,21.6,18
Lasnam<e4>e Vene G<fc>mnaasium,2013/14,9,Laia matemaatika riigieksam,36,30
Pelgulinna G<fc>mnaasium,2013/14,49,Eesti keele riigieksam,56.3,55
Pelgulinna G<fc>mnaasium,2013/14,20,Kitsa matemaatika riigieksam,15.6,16
Pelgulinna G<fc>mnaasium,2013/14,29,Laia matemaatika riigieksam,28.4,26
Pirita Majandusg<fc>mnaasium,2013/14,40,Eesti keele riigieksam,52.5,50
Pirita Majandusg<fc>mnaasium,2013/14,19,Kitsa matemaatika riigieksam,33.5,32
Pirita Majandusg<fc>mnaasium,2013/14,21,Laia matemaatika riigieksam,49.6,50
Tallinna 21. Kool,2013/14,96,Eesti keele riigieksam,73.8,76
Tallinna 21. Kool,2013/14,26,Kitsa matemaatika riigieksam,41.8,40
Tallinna 21. Kool,2013/14,70,Laia matemaatika riigieksam,59.9,60
Tallinna 32. Keskkool,2013/14,110,Eesti keele riigieksam,62.7,65
Tallinna 32. Keskkool,2013/14,53,Kitsa matemaatika riigieksam,25.5,23
Tallinna 32. Keskkool,2013/14,57,Laia matemaatika riigieksam,35.5,31
Tallinna 53. Keskkool,2013/14,42,Eesti keel teise keelena riigieksam,64.8,69
Tallinna 53. Keskkool,2013/14,27,Kitsa matemaatika riigieksam,40,39
Tallinna 53. Keskkool,2013/14,16,Laia matemaatika riigieksam,75.8,82
Tallinna Arte G<fc>mnaasium,2013/14,61,Eesti keele riigieksam,65.3,68
Tallinna Arte G<fc>mnaasium,2013/14,26,Kitsa matemaatika riigieksam,21.7,20
Tallinna Arte G<fc>mnaasium,2013/14,35,Laia matemaatika riigieksam,41,40
Tallinna Humanitaarg<fc>mnaasium,2013/14,37,Eesti keel teise keelena riigieksam,85.3,91
Tallinna Humanitaarg<fc>mnaasium,2013/14,11,Kitsa matemaatika riigieksam,41,37
Tallinna Humanitaarg<fc>mnaasium,2013/14,30,Laia matemaatika riigieksam,53.9,54
Tallinna Juudi Kool,2013/14,12,Eesti keel teise keelena riigieksam,68,65
Tallinna Juudi Kool,2013/14,6,Kitsa matemaatika riigieksam,33.5,36
Tallinna Juudi Kool,2013/14,6,Laia matemaatika riigieksam,56.7,56
Tallinna J<e4>rveotsa G<fc>mnaasium,2013/14,29,Eesti keele riigieksam,66.9,67
Tallinna J<e4>rveotsa G<fc>mnaasium,2013/14,7,Kitsa matemaatika riigieksam,19.3,22
Tallinna J<e4>rveotsa G<fc>mnaasium,2013/14,22,Laia matemaatika riigieksam,39.9,38
Tallinna Kesklinna Vene G<fc>mnaasium,2013/14,26,Eesti keel teise keelena riigieksam,67.9,68
Tallinna Kesklinna Vene G<fc>mnaasium,2013/14,20,Kitsa matemaatika riigieksam,30.1,27
Tallinna Kesklinna Vene G<fc>mnaasium,2013/14,11,Laia matemaatika riigieksam,66.5,72
Tallinna Kristiine G<fc>mnaasium,2013/14,22,Eesti keele riigieksam,56,56
Tallinna Kristiine G<fc>mnaasium,2013/14,11,Kitsa matemaatika riigieksam,27.8,25
Tallinna Kristiine G<fc>mnaasium,2013/14,11,Laia matemaatika riigieksam,44.4,45
Tallinna Kunstig<fc>mnaasium,2013/14,21,Eesti keele riigieksam,61.1,63
Tallinna Kunstig<fc>mnaasium,2013/14,18,Kitsa matemaatika riigieksam,18.6,18
Tallinna Kuristiku G<fc>mnaasium,2013/14,41,Eesti keele riigieksam,54.3,53
Tallinna Kuristiku G<fc>mnaasium,2013/14,27,Kitsa matemaatika riigieksam,39.1,35
Tallinna Kuristiku G<fc>mnaasium,2013/14,14,Laia matemaatika riigieksam,67.9,74
Tallinna Laagna G<fc>mnaasium,2013/14,28,Eesti keele riigieksam,59.1,65
Tallinna Laagna G<fc>mnaasium,2013/14,18,Kitsa matemaatika riigieksam,37.8,38
Tallinna Laagna G<fc>mnaasium,2013/14,10,Laia matemaatika riigieksam,76.2,76
Tallinna Lillek<fc>la G<fc>mnaasium,2013/14,64,Eesti keele riigieksam,65.3,67
Tallinna Lillek<fc>la G<fc>mnaasium,2013/14,22,Kitsa matemaatika riigieksam,30.9,24
Tallinna Lillek<fc>la G<fc>mnaasium,2013/14,42,Laia matemaatika riigieksam,46.5,42
Tallinna Linnam<e4>e Vene L<fc>tseum,2013/14,46,Eesti keel teise keelena riigieksam,71.4,69
Tallinna Linnam<e4>e Vene L<fc>tseum,2013/14,18,Kitsa matemaatika riigieksam,47.4,44
Tallinna Linnam<e4>e Vene L<fc>tseum,2013/14,29,Laia matemaatika riigieksam,66.8,70
Tallinna L<e4><e4>nemere G<fc>mnaasium,2013/14,50,Eesti keel teise keelena riigieksam,76.2,84
Tallinna L<e4><e4>nemere G<fc>mnaasium,2013/14,38,Kitsa matemaatika riigieksam,27.7,24
Tallinna L<e4><e4>nemere G<fc>mnaasium,2013/14,12,Laia matemaatika riigieksam,70.9,71
Tallinna Mustam<e4>e G<fc>mnaasium,2013/14,47,Eesti keele riigieksam,62.5,62
Tallinna Mustam<e4>e G<fc>mnaasium,2013/14,7,Kitsa matemaatika riigieksam,21.6,21
Tallinna Mustam<e4>e G<fc>mnaasium,2013/14,40,Laia matemaatika riigieksam,41.2,40
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2013/14,29,Eesti keel teise keelena riigieksam,86.8,92
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2013/14,23,Kitsa matemaatika riigieksam,40.3,35
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2013/14,10,Laia matemaatika riigieksam,64.8,69
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2013/14,23,Eesti keel teise keelena riigieksam,66.6,66
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2013/14,7,Kitsa matemaatika riigieksam,14.7,9
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2013/14,16,Laia matemaatika riigieksam,31.7,29
Tallinna Mustj<f5>e G<fc>mnaasium,2013/14,54,Eesti keel teise keelena riigieksam,66.5,70
Tallinna Mustj<f5>e G<fc>mnaasium,2013/14,44,Kitsa matemaatika riigieksam,28.1,22
Tallinna Mustj<f5>e G<fc>mnaasium,2013/14,10,Laia matemaatika riigieksam,59.5,60
Tallinna N<f5>mme G<fc>mnaasium,2013/14,60,Eesti keele riigieksam,65.5,65
Tallinna N<f5>mme G<fc>mnaasium,2013/14,24,Kitsa matemaatika riigieksam,40.1,31
Tallinna N<f5>mme G<fc>mnaasium,2013/14,37,Laia matemaatika riigieksam,51.1,50
Tallinna Pae G<fc>mnaasium,2013/14,13,Eesti keel teise keelena riigieksam,85.3,88
Tallinna Pae G<fc>mnaasium,2013/14,10,Kitsa matemaatika riigieksam,44,37
Tallinna Prantsuse L<fc>tseum,2013/14,45,Eesti keele riigieksam,77.8,80
Tallinna Prantsuse L<fc>tseum,2013/14,19,Kitsa matemaatika riigieksam,72.8,81
Tallinna Prantsuse L<fc>tseum,2013/14,26,Laia matemaatika riigieksam,81.3,86
Tallinna P<e4><e4>sk<fc>la G<fc>mnaasium,2013/14,27,Eesti keele riigieksam,49.8,47
Tallinna P<e4><e4>sk<fc>la G<fc>mnaasium,2013/14,20,Kitsa matemaatika riigieksam,15.2,14
Tallinna P<e4><e4>sk<fc>la G<fc>mnaasium,2013/14,7,Laia matemaatika riigieksam,36.9,38
Tallinna Reaalkool,2013/14,100,Eesti keele riigieksam,79.7,81
Tallinna Reaalkool,2013/14,101,Laia matemaatika riigieksam,85.6,88
Tallinna Saksa G<fc>mnaasium,2013/14,64,Eesti keele riigieksam,65.4,66
Tallinna Saksa G<fc>mnaasium,2013/14,19,Kitsa matemaatika riigieksam,23.3,22
Tallinna Saksa G<fc>mnaasium,2013/14,24,Laia matemaatika riigieksam,38.8,34
Tallinna S<fc>dalinna Kool,2013/14,24,Eesti keele riigieksam,51.4,48
Tallinna S<fc>dalinna Kool,2013/14,12,Kitsa matemaatika riigieksam,16.4,16
Tallinna S<fc>dalinna Kool,2013/14,12,Laia matemaatika riigieksam,15.2,14
Tallinna Tehnikag<fc>mnaasium,2013/14,61,Eesti keele riigieksam,61.2,62
Tallinna Tehnikag<fc>mnaasium,2013/14,60,Laia matemaatika riigieksam,44.4,39
Tallinna T<f5>nism<e4>e Reaalkool,2013/14,46,Eesti keel teise keelena riigieksam,79.7,82
Tallinna T<f5>nism<e4>e Reaalkool,2013/14,27,Kitsa matemaatika riigieksam,53.9,54
Tallinna T<f5>nism<e4>e Reaalkool,2013/14,24,Laia matemaatika riigieksam,72.8,78
Tallinna <d5>ism<e4>e G<fc>mnaasium,2013/14,54,Eesti keele riigieksam,60.5,62
Tallinna <d5>ism<e4>e G<fc>mnaasium,2013/14,22,Kitsa matemaatika riigieksam,24.6,24
Tallinna <d5>ism<e4>e G<fc>mnaasium,2013/14,32,Laia matemaatika riigieksam,52.8,52
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2013/14,39,Eesti keel teise keelena riigieksam,82.5,85
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2013/14,18,Kitsa matemaatika riigieksam,33.1,33
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2013/14,25,Laia matemaatika riigieksam,65.4,75
Tallinna <dc>hisg<fc>mnaasium,2013/14,64,Eesti keele riigieksam,65.8,68
Tallinna <dc>hisg<fc>mnaasium,2013/14,38,Kitsa matemaatika riigieksam,39.7,38
Tallinna <dc>hisg<fc>mnaasium,2013/14,26,Laia matemaatika riigieksam,50.9,47
Vanalinna Hariduskolleegium,2013/14,91,Eesti keele riigieksam,68,70
Vanalinna Hariduskolleegium,2013/14,39,Kitsa matemaatika riigieksam,48.3,41
Vanalinna Hariduskolleegium,2013/14,51,Laia matemaatika riigieksam,68.3,73
Ehte Humanitaarg<fc>mnaasium,2014/15,50,Eesti keel teise keelena riigieksam,65.3,64
Ehte Humanitaarg<fc>mnaasium,2014/15,34,Kitsa matemaatika riigieksam,38.5,35
Ehte Humanitaarg<fc>mnaasium,2014/15,17,Laia matemaatika riigieksam,49.5,48
Gustav Adolfi G<fc>mnaasium,2014/15,131,Eesti keele riigieksam,75,77
Gustav Adolfi G<fc>mnaasium,2014/15,15,Kitsa matemaatika riigieksam,58.1,55
Gustav Adolfi G<fc>mnaasium,2014/15,115,Laia matemaatika riigieksam,68.4,70
Haabersti Vene G<fc>mnaasium,2014/15,38,Eesti keel teise keelena riigieksam,79,85
Haabersti Vene G<fc>mnaasium,2014/15,7,Kitsa matemaatika riigieksam,44.1,41
Haabersti Vene G<fc>mnaasium,2014/15,23,Laia matemaatika riigieksam,55.7,58
Jakob Westholmi G<fc>mnaasium,2014/15,64,Eesti keele riigieksam,67.6,67
Jakob Westholmi G<fc>mnaasium,2014/15,15,Kitsa matemaatika riigieksam,46.4,34
Jakob Westholmi G<fc>mnaasium,2014/15,48,Laia matemaatika riigieksam,55.4,56
Kadrioru Saksa G<fc>mnaasium,2014/15,40,Eesti keele riigieksam,71.7,72
Kadrioru Saksa G<fc>mnaasium,2014/15,40,Laia matemaatika riigieksam,29.6,25
Lasnam<e4>e G<fc>mnaasium,2014/15,49,Eesti keel teise keelena riigieksam,68.5,70
Lasnam<e4>e G<fc>mnaasium,2014/15,29,Kitsa matemaatika riigieksam,36.9,30
Lasnam<e4>e G<fc>mnaasium,2014/15,21,Laia matemaatika riigieksam,53.2,59
Lasnam<e4>e Vene G<fc>mnaasium,2014/15,41,Eesti keel teise keelena riigieksam,68.5,73
Lasnam<e4>e Vene G<fc>mnaasium,2014/15,23,Kitsa matemaatika riigieksam,32.3,31
Lasnam<e4>e Vene G<fc>mnaasium,2014/15,21,Laia matemaatika riigieksam,40.2,34
Pelgulinna G<fc>mnaasium,2014/15,48,Eesti keele riigieksam,51,50
Pelgulinna G<fc>mnaasium,2014/15,11,Kitsa matemaatika riigieksam,23,17
Pelgulinna G<fc>mnaasium,2014/15,37,Laia matemaatika riigieksam,18.6,14
Pirita Majandusg<fc>mnaasium,2014/15,48,Eesti keele riigieksam,58.9,56
Pirita Majandusg<fc>mnaasium,2014/15,17,Kitsa matemaatika riigieksam,29.6,26
Pirita Majandusg<fc>mnaasium,2014/15,31,Laia matemaatika riigieksam,31.4,28
Tallinna 21. Kool,2014/15,94,Eesti keele riigieksam,71.6,75
Tallinna 21. Kool,2014/15,13,Kitsa matemaatika riigieksam,49.2,49
Tallinna 21. Kool,2014/15,81,Laia matemaatika riigieksam,53.3,58
Tallinna 32. Keskkool,2014/15,114,Eesti keele riigieksam,61.7,62
Tallinna 32. Keskkool,2014/15,31,Kitsa matemaatika riigieksam,32.9,33
Tallinna 32. Keskkool,2014/15,84,Laia matemaatika riigieksam,38.2,35
Tallinna 53. Keskkool,2014/15,24,Eesti keel teise keelena riigieksam,81.8,86
Tallinna 53. Keskkool,2014/15,14,Kitsa matemaatika riigieksam,29.4,27
Tallinna 53. Keskkool,2014/15,11,Laia matemaatika riigieksam,60.6,58
Tallinna Arte G<fc>mnaasium,2014/15,54,Eesti keele riigieksam,46.7,46
Tallinna Arte G<fc>mnaasium,2014/15,32,Kitsa matemaatika riigieksam,26.4,24
Tallinna Arte G<fc>mnaasium,2014/15,22,Laia matemaatika riigieksam,36.2,37
Tallinna Humanitaarg<fc>mnaasium,2014/15,48,Eesti keel teise keelena riigieksam,91.2,94
Tallinna Humanitaarg<fc>mnaasium,2014/15,46,Laia matemaatika riigieksam,49.6,48
Tallinna Juudi Kool,2014/15,17,Eesti keel teise keelena riigieksam,81.2,80
Tallinna Juudi Kool,2014/15,13,Kitsa matemaatika riigieksam,38.6,35
Tallinna Juudi Kool,2014/15,5,Laia matemaatika riigieksam,57.2,48
Tallinna J<e4>rveotsa G<fc>mnaasium,2014/15,26,Eesti keele riigieksam,57.1,56
Tallinna J<e4>rveotsa G<fc>mnaasium,2014/15,9,Kitsa matemaatika riigieksam,44.9,44
Tallinna J<e4>rveotsa G<fc>mnaasium,2014/15,17,Laia matemaatika riigieksam,39.8,29
Tallinna Kesklinna Vene G<fc>mnaasium,2014/15,45,Eesti keel teise keelena riigieksam,72.2,77
Tallinna Kesklinna Vene G<fc>mnaasium,2014/15,21,Kitsa matemaatika riigieksam,49.5,45
Tallinna Kesklinna Vene G<fc>mnaasium,2014/15,29,Laia matemaatika riigieksam,62.6,62
Tallinna Kristiine G<fc>mnaasium,2014/15,42,Eesti keele riigieksam,60.3,62
Tallinna Kristiine G<fc>mnaasium,2014/15,21,Kitsa matemaatika riigieksam,33.5,26
Tallinna Kristiine G<fc>mnaasium,2014/15,21,Laia matemaatika riigieksam,46.3,48
Tallinna Kunstig<fc>mnaasium,2014/15,27,Eesti keele riigieksam,53,52
Tallinna Kunstig<fc>mnaasium,2014/15,17,Kitsa matemaatika riigieksam,24.5,21
Tallinna Kunstig<fc>mnaasium,2014/15,10,Laia matemaatika riigieksam,32.4,22
Tallinna Kuristiku G<fc>mnaasium,2014/15,42,Eesti keele riigieksam,59.8,61
Tallinna Kuristiku G<fc>mnaasium,2014/15,22,Kitsa matemaatika riigieksam,44.5,44
Tallinna Kuristiku G<fc>mnaasium,2014/15,21,Laia matemaatika riigieksam,63.9,60
Tallinna Laagna G<fc>mnaasium,2014/15,31,Eesti keele riigieksam,52.2,52
Tallinna Laagna G<fc>mnaasium,2014/15,22,Kitsa matemaatika riigieksam,42.2,42
Tallinna Laagna G<fc>mnaasium,2014/15,12,Laia matemaatika riigieksam,51.4,52
Tallinna Lillek<fc>la G<fc>mnaasium,2014/15,64,Eesti keele riigieksam,67.3,69
Tallinna Lillek<fc>la G<fc>mnaasium,2014/15,25,Kitsa matemaatika riigieksam,37,34
Tallinna Lillek<fc>la G<fc>mnaasium,2014/15,40,Laia matemaatika riigieksam,51,51
Tallinna Linnam<e4>e Vene L<fc>tseum,2014/15,44,Eesti keel teise keelena riigieksam,85.4,89
Tallinna Linnam<e4>e Vene L<fc>tseum,2014/15,15,Kitsa matemaatika riigieksam,65.5,62
Tallinna Linnam<e4>e Vene L<fc>tseum,2014/15,30,Laia matemaatika riigieksam,66.7,67
Tallinna L<e4><e4>nemere G<fc>mnaasium,2014/15,45,Eesti keel teise keelena riigieksam,74.9,82
Tallinna L<e4><e4>nemere G<fc>mnaasium,2014/15,28,Kitsa matemaatika riigieksam,40.5,40
Tallinna L<e4><e4>nemere G<fc>mnaasium,2014/15,17,Laia matemaatika riigieksam,65.5,69
Tallinna Mustam<e4>e G<fc>mnaasium,2014/15,41,Eesti keele riigieksam,69,69
Tallinna Mustam<e4>e G<fc>mnaasium,2014/15,37,Laia matemaatika riigieksam,48.1,49
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2014/15,36,Eesti keel teise keelena riigieksam,90.7,93
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2014/15,19,Kitsa matemaatika riigieksam,47.1,44
Tallinna Mustam<e4>e Humanitaarg<fc>mnaasium,2014/15,22,Laia matemaatika riigieksam,52.7,52
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2014/15,45,Eesti keel teise keelena riigieksam,71,73
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2014/15,18,Kitsa matemaatika riigieksam,28.7,30
Tallinna Mustam<e4>e Reaalg<fc>mnaasium,2014/15,27,Laia matemaatika riigieksam,46.7,46
Tallinna Mustj<f5>e G<fc>mnaasium,2014/15,37,Eesti keel teise keelena riigieksam,64.5,69
Tallinna Mustj<f5>e G<fc>mnaasium,2014/15,29,Kitsa matemaatika riigieksam,31.7,27
Tallinna Mustj<f5>e G<fc>mnaasium,2014/15,8,Laia matemaatika riigieksam,51.1,34
Tallinna N<f5>mme G<fc>mnaasium,2014/15,63,Eesti keele riigieksam,67.6,68
Tallinna N<f5>mme G<fc>mnaasium,2014/15,17,Kitsa matemaatika riigieksam,55.1,55
Tallinna N<f5>mme G<fc>mnaasium,2014/15,46,Laia matemaatika riigieksam,51,48
Tallinna Pae G<fc>mnaasium,2014/15,7,Eesti keel teise keelena riigieksam,83.3,85
Tallinna Pae G<fc>mnaasium,2014/15,12,Laia matemaatika riigieksam,56.3,56
Tallinna Prantsuse L<fc>tseum,2014/15,56,Eesti keele riigieksam,84.1,86
Tallinna Prantsuse L<fc>tseum,2014/15,20,Kitsa matemaatika riigieksam,77.2,80
Tallinna Prantsuse L<fc>tseum,2014/15,36,Laia matemaatika riigieksam,77.8,80
Tallinna P<e4><e4>sk<fc>la G<fc>mnaasium,2014/15,35,Eesti keele riigieksam,51.1,51
Tallinna P<e4><e4>sk<fc>la G<fc>mnaasium,2014/15,22,Kitsa matemaatika riigieksam,24.3,26
Tallinna P<e4><e4>sk<fc>la G<fc>mnaasium,2014/15,14,Laia matemaatika riigieksam,34.2,24
Tallinna Reaalkool,2014/15,107,Eesti keele riigieksam,79.5,82
Tallinna Reaalkool,2014/15,106,Laia matemaatika riigieksam,83.9,87
Tallinna Saksa G<fc>mnaasium,2014/15,59,Eesti keele riigieksam,57.2,60
Tallinna Saksa G<fc>mnaasium,2014/15,17,Kitsa matemaatika riigieksam,26,25
Tallinna Saksa G<fc>mnaasium,2014/15,22,Laia matemaatika riigieksam,23.2,20
Tallinna S<fc>dalinna Kool,2014/15,11,Eesti keele riigieksam,55.1,55
Tallinna S<fc>dalinna Kool,2014/15,7,Kitsa matemaatika riigieksam,24.9,25
Tallinna Tehnikag<fc>mnaasium,2014/15,56,Eesti keele riigieksam,58.3,58
Tallinna Tehnikag<fc>mnaasium,2014/15,56,Laia matemaatika riigieksam,35.3,32
Tallinna T<f5>nism<e4>e Reaalkool,2014/15,26,Eesti keel teise keelena riigieksam,84.3,87
Tallinna T<f5>nism<e4>e Reaalkool,2014/15,11,Kitsa matemaatika riigieksam,66.1,69
Tallinna T<f5>nism<e4>e Reaalkool,2014/15,20,Laia matemaatika riigieksam,73.7,76
Tallinna <d5>ism<e4>e G<fc>mnaasium,2014/15,34,Eesti keele riigieksam,55.3,60
Tallinna <d5>ism<e4>e G<fc>mnaasium,2014/15,30,Laia matemaatika riigieksam,39.3,34
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2014/15,36,Eesti keel teise keelena riigieksam,84.3,86
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2014/15,11,Kitsa matemaatika riigieksam,57.1,51
Tallinna <d5>ism<e4>e Vene L<fc>tseum,2014/15,34,Laia matemaatika riigieksam,53.4,54
Tallinna <dc>hisg<fc>mnaasium,2014/15,71,Eesti keele riigieksam,63.4,63
Tallinna <dc>hisg<fc>mnaasium,2014/15,20,Kitsa matemaatika riigieksam,48.9,52
Tallinna <dc>hisg<fc>mnaasium,2014/15,50,Laia matemaatika riigieksam,41,38
Vanalinna Hariduskolleegium,2014/15,84,Eesti keele riigieksam,67.5,70
Vanalinna Hariduskolleegium,2014/15,20,Kitsa matemaatika riigieksam,37.4,42
Vanalinna Hariduskolleegium,2014/15,64,Laia matemaatika riigieksam,57.8,58
Ehte Humanitaarg<fc>mnaasium,2015/16,43,Eesti keel teise keelena riigieksam,72.5,73
Ehte Humanitaarg<fc>mnaasium,2015/16,17,Kitsa matemaatika riigieksam,48.1,49
Ehte Humanitaarg<fc>mnaasium,2015/16,27,Laia matemaatika riigieksam,54.6,51
Gustav Adolfi G<fc>mnaasium,2015/16,131,Eesti keele riigieksam,80.1,81
Gustav Adolfi G<fc>mnaasium,2015/16,10,Kitsa matemaatika riigieksam,78.2,82
Gustav Adolfi G<fc>mnaasium,2015/16,121,Laia matemaatika riigieksam,73.5,78
Haabersti Vene G<fc>mnaasium,2015/16,33,Eesti keel teise keelena riigieksam,69.4,75
Haabersti Vene G<fc>mnaasium,2015/16,6,Kitsa matemaatika riigieksam,13.5,13.5
Haabersti Vene G<fc>mnaasium,2015/16,27,Laia matemaatika riigieksam,30,22
Jakob Westholmi G<fc>mnaasium,2015/16,57,Eesti keele riigieksam,73.5,74
Jakob Westholmi G<fc>mnaasium,2015/16,29,Kitsa matemaatika riigieksam,56,53
Jakob Westholmi G<fc>mnaasium,2015/16,28,Laia matemaatika riigieksam,70.2,74
