"Sports centres and facilitie"
Year	City	District	"Sports hall"	Stadium	"Swimming pool"	"Ball park"	"Ice arena, skating rink"	Tenniseväljakud	Others
2012	Tallinn	"City center"	39	14	8	14	1		11
2012	Tallinn	Mustamäe	21	11	2	12			2
2012	Tallinn	Haabersti	21	7	13	11	1		12
2012	Tallinn	Nõmme	11	7	2	11			8
2012	Tallinn	Lasnamäe	27	12	9	20	2		5
2012	Tallinn	"Northern Tallinn"	21	6	1	12			3
2012	Tallinn	Kristiine	13	4	2	17			5
2012	Tallinn	Pirita	7	3	3	6	1		10
2013	Tallinn	"City center"	72	14	7	16	1	3	7
2013	Tallinn	Mustamäe	29	11	2	12			3
2013	Tallinn	Lasnamäe	54	12	12	19	2	2	5
2013	Tallinn	Haabersti	28	7	12	10	1	1	5
2013	Tallinn	Nõmme	20	7	1	11		1	6
2013	Tallinn	"Northern Tallinn"	34	6	1	13			3
2013	Tallinn	Kristiine	22	4	2	14		2	6
2013	Tallinn	Pirita	9	3	3	7	1	1	6
2014	Tallinn	Mustamäe	30	11	2	12			3
2014	Tallinn	Kristiine	23	4	2	13		2	6
2014	Tallinn	Pirita	9	3	3	7	1	1	6
2014	Tallinn	"City center"	74	14	7	16	1	3	7
2014	Tallinn	Haabersti	31	7	12	10	1	1	5
2014	Tallinn	Nõmme	21	7	1	11		1	6
2014	Tallinn	Lasnamäe	56	12	11	19	2	2	5
2014	Tallinn	"Northern Tallinn"	33	6	1	12			3
2015	Tallinn	Pirita	9	3	3	7	1	1	6
2015	Tallinn	Kristiine	23	4	2	13		2	6
2015	Tallinn	Mustamäe	30	11	2	12			3
2015	Tallinn	"Northern Tallinn"	33	6	1	12			4
2015	Tallinn	Lasnamäe	57	12	11	19	2	2	5
2015	Tallinn	Haabersti	30	7	12	10	1	1	5
2015	Tallinn	"City center"	75	14	7	16	1	3	10
2015	Tallinn	Nõmme	21	7	1	10		1	6
2016	Tallinn	Pirita	10	3	3	7	1	2	6
2016	Tallinn	Haabersti	30	7	12	10	1	1	5
2016	Tallinn	Kristiine	23	4	2	13		2	6
2016	Tallinn	Lasnamäe	61	12	11	20	2	3	5
2016	Tallinn	"City center"	79	14	7	16	1	3	9
2016	Tallinn	"Northern Tallinn"	33	6	1	12			4
2016	Tallinn	Nõmme	22	4	1	10		1	5
2016	Tallinn	Mustamäe	32	11	2	12			3
